reviewIdx,prosIdx,consIdx
8,4,8
9,3,3
10,1,3
11,2,4
12,5,5
13,2,6
14,2,3
15,3,7
16,5,1
17,5,4
18,1,5
19,3,5
20,3,6
21,2,4
22,2,5
23,2,6
24,5,3
25,5,2
26,4,4
27,5,6
28,5,7
29,2,2
30,3,3
31,4,6
32,2,3
33,1,8
34,4,4
35,4,4
36,4,6
37,3,6
38,4,5
39,1,3
40,4,4
41,3,2
42,1,6
43,1,3
44,2,3
45,5,7
46,1,4
47,5,7
48,3,4
49,2,6
50,5,5
51,4,4
52,4,7
53,4,8
54,2,2
55,3,4
56,1,5
57,1,4
58,2,4
59,4,3
60,5,7
61,2,5
62,2,3
63,5,6
64,1,6
65,2,3
66,3,3
67,1,6
68,4,1
69,1,8
70,5,4
71,3,6
72,4,4
73,3,2
74,4,3
75,2,7
76,4,6
77,1,6
78,3,4
79,3,8
80,5,7
81,3,8
82,2,4
83,2,2
84,1,5
85,5,1
86,1,1
87,2,6
88,5,5
89,4,5
90,3,3
91,3,5
92,1,4
93,3,8
94,4,3
95,1,5
96,4,2
97,1,5
98,5,6
99,1,3
100,2,5
101,1,5
102,1,2
103,1,8
104,5,8
105,5,2
106,1,2
107,1,2
108,1,2
109,2,7
110,5,7
111,4,6
112,4,2
113,1,6
114,3,3
115,2,1
116,2,8
117,3,1
118,5,4
119,5,6
120,4,1
121,4,3
122,5,8
123,4,1
124,2,2
125,2,3
126,2,4
127,4,6
128,4,8
129,3,1
130,3,1
131,3,1
132,5,1
133,2,4
134,3,2
135,5,2
136,1,7
137,5,8
138,1,7
139,1,7
140,3,2
141,4,8
142,3,5
143,1,3
144,3,2
145,3,4
146,1,8
147,5,6
148,1,2
149,1,4
150,5,7
151,1,1
152,3,1
153,4,6
154,5,8
155,2,2
156,1,2
157,5,8
158,2,3
159,3,7
160,5,5
161,2,3
162,2,6
163,4,3
164,4,8
165,4,5
166,4,6
167,2,3
168,3,6
169,4,4
170,2,6
171,2,2
172,3,3
173,2,5
174,3,5
175,1,3
176,4,5
177,2,7
178,2,2
179,2,7
180,5,7
181,1,3
182,5,4
183,5,3
184,1,6
185,4,5
186,4,3
187,1,5
188,2,4
189,2,3
190,1,1
191,1,1
192,2,4
193,4,8
194,1,6
195,5,5
196,1,3
197,1,5
198,2,6
199,4,1
200,4,4
201,3,3
202,4,8
203,5,2
204,2,2
205,1,1
206,2,5
207,4,5
208,1,1
209,2,5
210,1,5
211,3,2
212,4,4
213,1,7
214,2,7
215,4,8
216,3,1
217,5,8
218,4,6
219,2,1
220,2,4
221,1,1
222,1,6
223,4,8
224,4,3
225,4,6
226,5,7
227,1,1
228,4,2
229,2,8
230,3,7
231,5,4
232,1,2
233,4,3
234,1,2
235,5,6
236,3,6
237,5,6
238,1,5
239,1,7
240,1,1
241,1,4
242,2,4
243,3,7
244,3,4
245,4,2
246,4,7
247,1,1
248,4,5
249,5,6
250,4,4
251,4,1
252,4,8
253,5,8
254,4,8
255,1,1
256,5,3
257,2,8
