reviewProConsIdx,reviewIdx,prosIdx,consIdx
1,1,2,6
2,2,2,8
3,3,1,6
4,4,3,7
5,5,2,3
6,6,5,7
7,7,4,1
8,8,1,1
9,9,1,1
10,10,1,1
11,11,2,7
12,12,3,3
13,13,4,4
14,14,2,7
15,15,1,2
16,16,3,6
17,17,3,5
18,18,2,4
19,19,5,1
20,20,4,3
21,21,1,7
22,22,2,2
23,23,1,8
24,24,1,4
25,25,3,6
26,26,1,6
27,27,2,5
28,28,4,7
29,29,2,8
30,30,1,4
31,31,2,8
32,32,3,8
33,33,2,6
34,34,4,5
35,35,2,7
36,36,2,7
37,37,1,5
38,38,5,8
39,39,1,8
40,40,2,5
41,41,1,5
42,42,1,7
43,43,1,2
44,44,5,2
45,45,2,4
46,46,1,5
47,47,4,7
48,48,1,3
49,49,3,8
50,50,4,7
51,51,3,8
52,52,3,8
53,53,1,3
54,54,3,4
55,55,5,6
56,56,4,2
57,57,3,1
58,58,2,3
59,59,1,3
60,60,4,2
61,61,1,7
62,62,5,1
63,63,3,4
64,64,2,1
65,65,1,2
66,66,3,3
67,67,2,2
68,68,1,7
69,69,4,7
70,70,1,6
71,71,5,1
72,72,3,3
73,73,1,6
74,74,3,4
75,75,3,7
76,76,5,3
77,77,3,2
78,78,1,8
79,79,2,1
80,80,5,3
81,81,1,6
82,82,4,7
83,83,1,4
84,84,5,5
85,85,3,8
86,86,4,8
87,87,3,8
88,88,1,4
89,89,2,6
90,90,4,7
91,91,2,7
92,92,4,3
93,93,6,8
94,94,4,6
95,95,4,7
96,96,3,4
97,97,1,1
98,98,1,8
99,99,1,7
100,100,1,4
101,101,1,2
102,102,3,7
103,103,3,8
104,104,2,2
105,105,3,1
106,106,1,6
107,107,3,5
108,108,2,1
109,109,5,4
110,110,2,4
111,111,3,5
112,112,1,2
113,113,1,4
114,114,2,8
115,115,3,6
116,116,2,7
117,117,3,4
118,118,3,6
119,119,3,8
120,120,3,8
121,121,3,1
122,122,2,6
123,123,2,3
124,124,5,2
125,125,3,5
126,126,4,7
127,127,2,5
128,128,2,4
129,129,2,7
130,130,2,2
131,131,4,6
132,132,1,7
133,133,3,8
134,134,4,7
135,135,2,2
136,136,5,2
137,137,1,2
138,138,2,5
139,139,5,1
140,140,2,1
141,141,2,7
142,142,3,4
143,143,5,7
144,144,3,4
145,145,3,7
146,146,4,3
147,147,4,3
148,148,4,3
149,149,4,5
150,150,1,7
151,151,1,7
152,152,4,5
153,153,6,4
154,154,5,8
155,155,4,6
156,156,2,4
157,157,4,2
158,158,2,6
159,159,2,6
160,160,1,3
161,161,5,6
162,162,1,3
163,163,3,8
164,164,6,6
165,165,1,4
166,166,2,5
167,167,2,5
168,168,1,1
169,169,1,7
170,170,4,3
171,171,4,2
172,172,1,6
173,173,2,5
174,174,5,7
175,175,1,6
176,176,4,2
177,177,4,7
178,178,4,1
179,179,3,1
180,180,4,4
181,181,4,8
182,182,5,4
183,183,1,6
184,184,1,6
185,185,3,3
186,186,5,6
187,187,1,3
188,188,4,8
189,189,4,6
190,190,5,2
191,191,3,2
192,192,4,3
193,193,3,7
194,194,1,3
195,195,5,8
196,196,2,8
197,197,2,8
198,198,3,3
199,199,4,3
200,200,3,4
201,201,3,6
202,202,4,8
203,203,4,4
204,204,1,7
205,205,3,8
206,206,6,5
207,207,6,4
208,208,5,8
209,209,1,2
210,210,2,3
211,211,1,6
212,212,1,5
213,213,5,6
214,214,5,4
215,215,2,1
216,216,4,4
217,217,2,6
218,218,5,2
219,219,2,1
220,220,3,3
221,221,2,4
222,222,2,7
223,223,2,8
224,224,2,7
225,225,5,4
226,226,5,4
227,227,5,6
228,228,4,8
229,229,4,2
230,230,1,8
231,231,3,6
232,232,5,4
233,233,4,4
234,234,4,8
235,235,5,2
236,236,5,4
237,237,1,8
238,238,4,5
239,239,2,4
240,240,3,5
241,241,1,7
242,242,3,7
243,243,4,1
244,244,2,4
245,245,3,6
246,246,4,3
247,247,5,5
248,248,1,7
249,249,3,6
250,250,3,5
251,251,2,4
252,252,1,3
253,253,5,1
254,254,3,8
255,255,1,4
256,256,3,4
257,257,2,3
258,258,2,3
259,259,5,8
260,260,4,2
261,261,5,7
262,262,5,2
263,263,1,2
264,264,3,7
265,265,1,5
266,266,3,4
267,267,5,2
268,268,5,4
269,269,6,7
270,270,5,3
271,271,6,1
272,272,4,2
273,273,1,6
274,274,1,4
275,275,6,4
276,276,5,3
277,277,6,2
278,278,1,6
279,279,2,5
280,280,6,7
281,281,2,5
282,282,2,1
283,283,3,7
284,284,2,2
285,285,2,3
286,286,4,3
287,287,1,1
288,288,2,1
289,289,5,3
290,290,4,4
291,291,2,5
292,292,5,6
293,293,5,5
294,294,1,4
295,295,2,4
296,296,1,4
297,297,5,5
298,298,5,6
299,299,1,3
300,300,1,5
301,301,4,4
302,302,4,5
303,303,6,4
304,304,2,7
305,305,2,7
306,306,2,1
307,307,1,7
308,308,3,2
309,309,1,5
310,310,2,5
311,311,2,7
312,312,3,4
313,313,4,7
314,314,2,3
315,315,2,1
316,316,4,5
317,317,5,1
318,318,6,3
319,319,2,8
320,320,5,7
321,321,6,6
322,322,3,4
323,323,2,3
324,324,5,4
325,325,4,1
326,326,2,1
327,327,3,4
328,328,5,7
329,329,3,7
330,330,4,5
331,331,4,5
332,332,1,3
333,333,1,8
334,334,3,3
