reviewIdx,userIdx,lectureIdx,totalRating,priceRating,teachingPowerRating,recommend
34,1,592,4.0,3.5,4.0,Y
35,1,593,4.0,3.0,4.5,Y
36,1,596,5.0,4.5,4.0,Y
37,1,608,5.0,4.5,4.0,Y
38,1,648,3.0,2.5,4.0,N
39,1,661,5.0,4.0,4.0,Y
40,1,673,3.0,2.0,3.0,Y
41,1,733,4.0,3.5,3.0,Y
42,1,736,3.0,4.5,3.0,N
43,1,780,3.0,2.0,4.0,Y
44,1,804,4.0,3.5,4.5,Y
45,1,919,5.0,4.5,4.0,Y
46,1,923,5.0,4.0,4.0,Y
47,1,940,5.0,4.5,4.5,Y
48,1,943,4.0,4.0,4.5,Y
49,1,954,5.0,4.5,4.5,Y
50,1,1009,3.0,4.0,2.0,N
51,1,1023,5.0,4.5,4.5,Y
52,1,1024,5.0,4.5,4.5,Y
53,1,1025,5.0,4.0,4.5,Y
54,1,1029,5.0,4.5,4.5,Y
55,1,1030,3.0,2.0,3.0,N
56,1,1031,5.0,4.5,4.5,Y
57,1,1032,5.0,4.0,4.5,Y
58,1,1042,4.0,4.0,4.5,Y
59,1,1049,5.0,4.5,4.5,Y
60,1,1060,4.0,3.0,4.0,Y
61,1,1073,5.0,4.0,4.5,Y
62,1,1080,5.0,4.0,4.0,Y
63,1,1089,5.0,4.5,4.0,Y
64,1,1090,4.0,3.0,3.0,Y
65,1,1092,5.0,4.0,4.0,Y
66,1,1097,5.0,4.0,4.5,Y
67,1,1127,4.0,4.5,3.5,Y
68,1,1136,5.0,4.0,4.5,Y
69,1,1196,5.0,4.0,4.0,Y
70,1,1197,5.0,4.5,4.5,Y
71,1,1198,5.0,4.5,4.0,Y
72,1,1206,5.0,4.5,4.0,Y
73,1,1208,4.0,4.5,3.5,Y
74,1,1210,5.0,4.0,4.0,Y
75,1,1213,5.0,4.5,4.5,Y
76,1,1214,4.0,4.0,3.0,Y
77,1,1219,2.0,2.0,4.0,N
78,1,1220,5.0,4.5,4.5,Y
79,1,1222,5.0,4.5,4.5,Y
80,1,1224,5.0,4.0,4.0,Y
81,1,1226,5.0,4.5,4.0,Y
82,1,1240,5.0,4.0,4.0,Y
83,1,1256,5.0,4.5,4.0,Y
84,1,1258,3.0,2.5,4.0,N
85,1,1265,4.0,3.5,3.0,Y
86,1,1270,5.0,4.0,4.5,Y
87,1,1275,5.0,4.0,4.5,Y
88,1,1278,5.0,4.5,4.5,Y
89,1,1282,5.0,4.5,4.5,Y
90,1,1291,5.0,4.5,4.0,Y
91,1,1298,5.0,4.5,4.5,Y
92,1,1348,4.0,4.5,3.5,Y
93,1,1377,3.0,4.0,3.0,Y
94,1,1396,3.0,4.5,3.0,Y
95,1,1408,3.0,2.0,2.5,Y
96,1,1445,3.0,4.0,3.0,N
97,1,1473,4.0,3.0,3.5,Y
98,1,1500,4.0,3.0,4.0,Y
99,1,1517,5.0,4.5,4.5,Y
100,1,1552,4.0,4.0,3.5,Y
101,1,1573,5.0,4.5,4.5,Y
102,1,1580,3.0,4.0,2.0,Y
103,1,1587,5.0,4.0,4.0,Y
104,1,1617,5.0,4.5,4.5,Y
105,1,1620,4.0,3.5,4.5,Y
106,1,1625,5.0,4.0,4.5,Y
107,1,1644,3.0,3.5,4.5,N
108,1,1676,3.0,4.5,2.5,N
109,1,1732,5.0,4.5,4.5,Y
110,1,1777,4.0,4.0,3.0,Y
111,1,1793,4.0,3.0,3.0,Y
112,1,1804,5.0,4.0,4.0,Y
113,1,1805,4.0,4.5,4.0,Y
114,1,1920,4.0,3.5,4.5,Y
115,1,1927,5.0,4.0,4.5,Y
116,1,1954,5.0,4.0,4.0,Y
117,1,1967,4.0,3.0,4.5,Y
118,1,2000,4.0,4.0,3.0,Y
119,1,2005,5.0,4.0,4.0,Y
120,1,2012,4.0,4.5,4.5,Y
121,1,2018,5.0,4.0,4.5,Y
122,1,2028,4.0,4.5,4.5,Y
123,1,2033,5.0,4.0,4.5,Y
124,1,2046,4.0,4.5,4.0,Y
125,1,2048,5.0,4.0,4.5,Y
126,1,2054,4.0,4.0,4.0,Y
127,1,2058,5.0,4.5,4.5,Y
128,1,2078,5.0,4.5,4.0,Y
129,1,2090,5.0,4.5,4.5,Y
130,1,2093,3.0,4.0,4.5,Y
131,1,2094,5.0,4.5,4.5,Y
132,1,2096,4.0,4.5,3.5,Y
133,1,2099,4.0,4.0,4.5,Y
134,1,2105,4.0,4.5,4.0,Y
135,1,2115,5.0,4.5,4.0,Y
136,1,2116,5.0,4.0,4.5,Y
137,1,2137,5.0,4.5,4.5,Y
138,1,2139,5.0,4.0,4.0,Y
139,1,2141,5.0,4.5,4.5,Y
140,1,2143,4.0,4.0,4.0,Y
141,1,2161,5.0,4.0,4.5,Y
142,1,2174,4.0,4.5,4.5,Y
143,1,2193,4.0,4.0,4.5,Y
144,1,2253,2.0,4.0,1.5,N
145,1,2268,4.0,4.5,3.5,Y
146,1,2273,4.0,3.0,3.5,Y
147,1,2291,5.0,4.0,4.5,Y
148,1,2329,5.0,4.5,4.0,Y
149,1,2338,2.0,1.5,1.0,N
150,1,2353,5.0,4.5,4.5,Y
151,1,2366,4.0,4.0,3.0,Y
152,1,2387,5.0,4.0,4.0,Y
153,1,2389,2.0,3.5,2.5,N
154,1,2395,5.0,4.0,4.0,Y
155,1,2406,4.0,3.5,3.0,Y
156,1,2414,3.0,2.5,3.0,N
157,1,2427,5.0,4.0,4.5,Y
158,1,2450,4.0,3.0,4.5,Y
159,1,2459,5.0,4.5,4.5,Y
160,1,2470,5.0,4.0,4.5,Y
161,1,2478,4.0,3.0,3.0,Y
162,1,2492,4.0,3.5,3.5,Y
163,1,2502,5.0,4.0,4.5,Y
164,1,2528,3.0,2.0,3.0,N
165,1,2529,5.0,4.0,4.0,Y
166,1,2542,5.0,4.5,4.0,Y
167,1,2571,5.0,4.0,4.0,Y
168,1,2580,5.0,4.0,4.0,Y
169,1,2596,5.0,4.5,4.5,Y
170,1,2616,4.0,3.5,3.5,Y
171,1,2617,2.0,1.5,2.5,N
172,1,2628,4.0,3.0,3.0,Y
173,1,2640,4.0,3.5,3.0,Y
174,1,2641,5.0,4.5,4.0,Y
175,1,2644,4.0,3.5,3.0,Y
